ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,VERB,X,CONJ,SYM,SPACE
144,171,288,87,157,294,0,443,41,32,285,236,424,41,271,14,0,0,0
351,1306,3082,925,826,1554,2,2510,418,488,3258,1836,4065,373,2153,286,0,0,0
244,521,1014,246,309,742,2,1177,128,168,1045,808,1551,125,827,83,0,0,0
663,1379,3874,1976,801,2087,11,3681,295,676,4312,1533,6286,507,2827,148,0,0,0
367,467,839,190,159,864,2,1581,136,95,798,850,1712,55,811,115,0,0,0
671,1786,3089,634,741,2789,2,4235,436,388,3617,2938,6207,452,2688,245,0,0,0
917,1463,2873,1320,792,2573,18,3807,232,626,3301,1251,4920,459,2550,119,0,0,0
253,535,1314,452,251,956,8,1515,140,162,1288,972,1889,83,1058,153,0,0,0
365,790,1193,804,304,1157,5,1621,75,337,2033,446,2218,291,1335,56,0,0,0
360,748,1835,743,413,1095,7,1968,164,296,1908,1327,2677,214,1370,144,0,0,0
446,897,1800,1028,425,1489,6,2090,129,161,2094,841,2547,313,1550,174,0,0,0
458,788,1573,649,337,1279,19,2055,153,215,1509,983,2710,210,1071,339,0,0,0
506,1029,2054,728,500,1507,18,2426,214,284,2170,1362,3833,319,1438,529,0,0,0
578,1296,3552,1150,855,1858,11,3061,269,524,3511,1742,4278,322,2479,448,0,0,0
628,1090,2008,452,605,1795,2,2870,268,211,1805,1740,2941,242,1665,162,0,0,0
363,741,1608,827,336,1216,10,1780,119,243,2055,834,2450,225,1432,115,0,0,0
148,419,851,214,154,548,1,1025,134,112,1007,1045,1786,74,717,165,0,0,0
247,498,686,226,190,753,8,1349,150,75,923,1078,1530,48,731,118,0,0,0
533,1835,2543,1640,617,2508,2,4010,161,562,4366,856,5690,434,2893,171,0,0,0
33,54,314,103,56,119,2,193,16,47,183,89,281,27,147,13,0,0,0
57,91,304,147,47,190,7,322,28,42,232,216,471,19,190,16,0,0,0
41,49,121,33,45,87,3,124,24,20,105,55,200,9,107,14,0,0,0
529,697,1774,396,342,1219,4,2050,153,174,1310,1056,2107,184,1287,147,0,0,0
223,569,1745,653,272,733,32,1176,125,284,1526,551,2187,242,943,145,0,0,0
214,362,557,222,155,557,2,1097,115,70,636,826,1111,31,582,119,0,0,0
719,1307,2095,635,706,1811,2,3749,391,316,2048,2446,4261,190,1706,252,0,0,0
344,591,3264,384,285,596,74,1871,106,63,1135,3468,4031,242,1828,2215,0,0,0
305,641,2002,856,424,1114,1,1830,149,327,2152,1186,2786,270,1515,176,0,0,0
305,585,1254,156,258,910,4,1712,286,186,1389,2159,2288,97,1063,196,0,0,0
497,1116,1703,813,303,1415,7,2033,89,297,2068,415,2396,313,1381,32,0,0,0
418,959,1434,658,330,1276,7,2027,88,309,1904,947,2614,241,1388,90,0,0,0
314,1047,2055,1023,481,1322,4,2011,165,439,3039,889,3143,326,1838,118,0,0,0
960,1412,1827,1724,648,2935,17,3699,30,701,4166,664,4762,573,2868,54,0,0,0
619,1409,2977,811,970,2200,8,3961,522,483,3292,2582,6080,294,2415,395,0,0,0
221,523,904,501,241,671,22,1175,62,175,962,404,1473,180,719,140,0,0,0
867,1934,2563,1378,856,2848,7,4528,152,646,4001,1030,5224,535,3107,95,0,0,0
1136,2308,3360,1442,741,3339,12,5143,255,456,4208,1643,4294,484,3427,185,0,0,0
458,816,1339,712,415,1376,5,2182,225,208,1561,1268,2933,214,1254,185,0,0,0
448,788,1705,845,390,1466,1,2126,141,353,2047,939,2839,297,1517,108,0,0,0
536,840,1537,767,483,1566,7,2567,108,341,1943,854,3395,175,1484,87,0,0,0
614,632,2250,183,132,403,45,2058,82,34,668,4237,3512,210,1713,2717,0,0,0
73,96,166,61,25,271,1,483,29,28,267,286,858,15,190,18,0,0,0
571,1276,2643,670,562,1855,4,3200,302,316,2334,2311,4125,218,1800,284,0,0,0
222,409,930,272,214,793,7,1316,151,121,881,876,1534,63,738,117,0,0,0
246,547,1140,328,246,725,3,1563,146,149,900,1268,1921,66,736,120,0,0,0
462,905,2135,914,400,1388,8,2410,129,312,2403,1013,3474,226,1819,188,0,0,0
154,220,629,88,38,116,4,670,24,10,198,1501,1145,39,584,925,0,0,0
1254,1907,4133,834,754,2620,5,4901,574,481,3467,3760,6932,256,2459,512,0,0,0
597,1128,2340,1328,696,1780,8,2741,155,490,3018,889,4196,501,1998,77,0,0,0
2243,3483,7545,1673,1863,4459,10,9300,1187,917,6135,5874,10608,525,5727,617,0,0,0
129,339,1050,330,253,558,3,963,106,206,1157,697,1629,97,760,136,0,0,0
89,274,835,270,183,417,6,682,83,172,1122,510,1267,119,742,74,0,0,0
762,1347,2405,1415,660,2457,5,3170,135,567,4066,685,4460,551,2928,102,0,0,0
726,1188,3145,1626,673,2118,4,3256,161,554,3487,1121,3931,609,2297,92,0,0,0
523,1602,2902,912,805,2431,11,4315,508,432,3091,3187,5707,411,2417,299,0,0,0
441,1109,2590,579,758,1660,2,2717,247,331,2177,1776,3474,262,1673,213,0,0,0
566,1453,2968,1289,812,2294,2,3258,143,629,3715,946,4570,775,2925,119,0,0,0
241,960,2137,770,685,1342,1,2257,386,455,2895,1469,3485,240,1929,234,0,0,0
277,845,1529,745,443,1046,2,1568,197,237,1894,1080,2104,139,1121,137,0,0,0
1181,2061,5528,1811,988,2457,26,3795,303,756,5325,1673,9329,665,3012,623,0,0,0
351,490,2998,743,310,778,178,1732,150,433,2112,1037,5389,211,1252,337,0,0,0
416,953,1662,987,456,1255,10,2139,148,392,2261,774,3199,235,1570,136,0,0,0
611,1740,2342,941,811,2421,3,4020,306,418,3627,1912,6190,544,2660,163,0,0,0
483,1032,1794,937,617,1661,10,2705,113,413,3225,1142,4645,385,2296,124,0,0,0
263,308,710,401,207,555,1,864,44,158,791,290,1064,90,467,35,0,0,0
914,1721,3114,1670,852,2808,12,3896,114,647,3837,965,4253,742,2692,81,0,0,0
542,912,3110,1323,575,1557,67,2569,210,533,3351,1325,4509,488,2223,215,0,0,0
