ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,VERB,X,CONJ,SYM,SPACE
2793,6193,11961,2181,1563,5750,27,8247,783,1003,7369,4140,15419,1029,4803,657,0,0,0
518,1315,3930,882,516,1471,181,2786,207,457,2662,1774,6686,241,2008,354,0,0,0
552,1276,2189,1034,543,1619,10,2697,189,420,2499,1067,3951,248,1940,137,0,0,0
644,2201,2563,955,983,2799,3,4637,368,421,3978,2353,6943,579,3093,165,0,0,0
497,1113,1828,939,634,1719,10,2811,127,413,3267,1277,4807,388,2370,126,0,0,0
270,346,757,403,222,585,1,912,50,160,812,350,1142,91,493,35,0,0,0
925,1873,3190,1691,888,2857,12,4052,138,650,3936,1180,4521,746,2813,82,0,0,0
650,1599,3836,1365,775,2094,67,3433,266,550,3610,2269,5637,513,2825,223,0,0,0
272,405,881,501,232,797,1,1136,33,235,1306,260,1890,170,858,20,0,0,0
233,585,1507,937,325,949,1,1278,54,316,2081,494,2555,311,1292,32,0,0,0
672,2396,3830,1087,1140,3165,0,4309,325,438,3487,2897,6520,453,2986,267,0,0,0
546,1894,3020,915,654,2086,12,3565,340,375,2764,2399,5197,415,2102,639,0,0,0
541,1660,3017,865,658,1935,28,3197,284,405,2747,2102,4938,423,1966,762,0,0,0
1234,1867,2609,2152,778,3817,11,4916,88,777,4615,1115,5091,617,2983,61,0,0,0
653,1275,3812,1619,765,2094,11,3378,192,551,3863,1618,4778,566,2720,88,0,0,0
820,1766,3053,1166,649,2610,8,4093,293,424,3345,2122,4793,395,2935,179,0,0,0
147,524,1652,513,289,516,5,961,95,202,1337,652,1913,154,935,63,0,0,0
63,88,150,38,49,101,1,247,24,10,89,132,259,14,127,51,0,0,0
78,214,552,175,115,278,3,457,29,66,438,163,627,47,329,22,0,0,0
11,26,96,16,18,46,1,62,6,7,47,30,70,6,48,4,0,0,0
1448,3570,5863,2351,1573,5288,8,7943,1276,1091,6976,5468,10243,696,5508,525,0,0,0
563,1351,2318,664,745,1790,9,3042,305,307,1775,2156,3045,215,1631,228,0,0,0
124,338,604,267,162,454,1,739,72,94,767,388,1191,99,531,45,0,0,0
111,274,1028,324,164,347,15,505,49,153,988,378,1210,105,572,53,0,0,0
212,506,1176,329,271,560,5,997,93,123,989,750,1505,164,795,155,0,0,0
437,1191,1486,377,286,1382,7,2384,190,145,1671,1564,2595,162,1466,105,0,0,0
852,1807,2134,773,501,2479,0,3752,185,423,2381,1097,3515,417,2135,119,0,0,0
528,1213,3211,1239,830,1934,13,3228,230,593,3410,1823,5472,551,2694,194,0,0,0
460,1157,2196,759,527,1660,4,2717,266,334,2752,2209,4030,208,2332,301,0,0,0
212,552,1055,221,243,660,6,1340,112,94,690,1050,1690,65,760,69,0,0,0
793,2640,3490,1337,1222,2995,44,5347,438,380,4349,3937,7174,549,3540,609,0,0,0
774,1454,2782,948,606,1821,5,3085,215,393,2280,1425,3962,330,1819,148,0,0,0
641,1240,1592,796,455,1946,9,2835,103,305,2405,746,3121,274,2091,69,0,0,0
723,2481,3743,888,1117,2881,12,5277,575,355,3900,2920,6628,409,3218,307,0,0,0
344,829,1273,409,309,967,4,2153,212,146,1305,1763,2694,77,1182,149,0,0,0
854,1714,2473,805,739,2385,16,3714,151,353,2668,1234,4525,333,2535,65,0,0,0
734,2068,3600,1373,822,2558,25,3993,236,646,3588,2212,5995,590,2979,185,0,0,0
541,1139,2440,774,383,1527,7,2478,137,389,2333,868,3343,324,1816,108,0,0,0
525,1288,2800,1067,610,1639,17,2572,172,484,2994,1389,3944,313,2178,113,0,0,0
883,2295,3974,693,932,2569,1,4626,651,333,3153,2871,4787,323,2711,281,0,0,0
409,1273,2768,907,688,1562,7,2521,157,407,3312,1108,5631,568,1892,159,0,0,0
646,2154,4225,1624,720,2561,6,4286,258,599,4559,2290,6250,539,3527,270,0,0,0
713,1659,2665,1556,958,2466,5,3688,202,463,3991,1387,5363,457,2756,92,0,0,0
1142,2439,4723,1362,1395,3338,8,5708,680,689,4401,3702,6861,394,3642,539,0,0,0
112,174,199,83,65,263,7,468,11,43,334,111,965,41,309,12,0,0,0
