name,id,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
hauptmann-vor-sonnenaufgang,ger000509,Hauptmann,0,Vor Sonnenaufgang,Soziales Drama,,1889,18,False,0.8875520539736227,0.7581699346405228,1.2418300653594772,hoffmann|loth|helene,12.88888888888889,2,1889,1889.0,17,18,8,10,0,,1,1889,5,0,5,26811,24076,6459,1149,3
hebbel-agnes-bernauer,ger000043,Hebbel,0,Agnes Bernauer,Ein deutsches Trauerspiel in fünf Aufzügen,Tragedy,1852,31,False,0.8515496904196596,0.3483870967741935,1.696774193548387,albrecht,10.451612903225806,3,1852,1855.0,25,31,3,27,1,,1,,63,1,5,25845,25299,2062,909,3
hebbel-demetrius,ger000253,Hebbel,0,Demetrius,,,1864,28,False,0.7280080091170318,0.2724867724867725,1.8994708994708995,demetrius,7.357142857142857,3,1869,1864.0,19,28,6,19,3,,1,1863,78,0,5,27254,26806,1224,0,3951
hebbel-der-diamant,ger000179,Hebbel,0,Der Diamant,Eine Komödie in fünf Akten,Comedy,1847,23,False,0.9154589371980678,0.2924901185770751,1.3302752293577982,jacob|der_prinz,6.434782608695652,3,1848,1847.0,12,23,9,14,0,,3,1841,29,0,5,23647,22838,1251,585,459
hebbel-der-gehoernte-siegfried,ger000016,Hebbel,0,Der gehörnte Siegfried,Vorspiel in einem Akt,,1861,9,False,0.7185185185185186,0.5555555555555556,1.0909090909090908,several characters,4.444444444444445,2,1861,1862.0,6,9,2,7,0,,2,,4,0,0,5117,5032,98,0,694
hebbel-der-rubin,ger000325,Hebbel,0,Der Rubin,Ein Märchen-Lustspiel in drei Akten,Comedy,1849,17,False,0.7475152298681711,0.5,1.5514705882352942,assad,8.0,3,1849,1851.0,14,17,1,15,1,,1,1849,23,0,3,12351,12011,1265,0,1732
hebbel-genoveva,ger000327,Hebbel,0,Genoveva,Eine Tragödie in fünf Akten,Tragedy,1843,19,False,0.8425349246556678,0.4385964912280701,1.5614035087719298,golo,7.894736842105263,2,1849,1843.0,17,19,3,15,1,,1,,44,0,5,33896,33087,2804,0,4511
hebbel-gyges-und-sein-ring,ger000238,Hebbel,0,Gyges und sein Ring,Eine Tragödie in fünf Akten,Tragedy,1856,9,False,0.9722222222222222,0.9722222222222222,1.0277777777777777,several characters,7.777777777777778,2,1889,1856.0,8,9,3,5,1,,1,,5,0,5,16211,16073,512,0,2290
hebbel-herodes-und-mariamne,ger000101,Hebbel,0,Herodes und Mariamne,Eine Tragödie in fünf Akten,Tragedy,1849,27,False,0.8421874542789575,0.2962962962962963,1.9173789173789173,herodes|titus,7.703703703703703,4,1849,1850.0,18,27,3,23,1,,1,,35,0,5,26986,26689,1028,0,3804
hebbel-judith,ger000324,Hebbel,0,Judith,Eine Tragödie in fünf Akten,Tragedy,1840,59,False,0.9541372916404028,0.3699590882524839,1.630040911747516,achior,21.45762711864407,2,1840,1841.0,53,59,7,50,2,,1,,7,2,5,22494,21841,1252,613,0
hebbel-kriemhilds-rache,ger000160,Hebbel,0,Kriemhilds Rache,Ein Trauerspiel in fünf Akten,Tragedy,1861,21,False,0.7700385593242738,0.5333333333333333,1.4952380952380953,hagen,10.666666666666666,3,1861,1862.0,18,21,4,17,0,,1,,72,0,5,23439,22796,1496,0,3271
hebbel-maria-magdalene,ger000309,Hebbel,0,Maria Magdalene,Ein bürgerliches Trauerspiel in drei Akten,Tragedy,1844,11,False,0.7545454545454546,0.5636363636363636,1.4363636363636365,klara,5.636363636363637,2,1846,1844.0,10,11,3,8,0,,1,,24,5,3,25317,16974,706,455,16
hebbel-siegfrieds-tod,ger000392,Hebbel,0,Siegfrieds Tod,Ein Trauerspiel in fünf Akten,Tragedy,1861,18,False,0.7398555148555148,0.5098039215686274,1.3553719008264462,kriemhild,8.666666666666666,2,1861,1862.0,15,18,4,12,2,,2,,46,0,5,17547,17179,1029,0,2516
hebbel-trauerspiel-in-sizilien,ger000296,Hebbel,0,Ein Trauerspiel in Sizilien,Tragikomödie in einem Akt,Tragicomedy,1847,9,False,0.8904761904761904,0.6944444444444444,1.3055555555555556,ambrosio|bartolino,5.555555555555555,2,1907,1847.0,8,9,1,8,0,,1,1847,7,0,0,7533,6609,275,0,942
heine-almansor,ger000284,Heine,0,Almansor,Eine Tragödie,Tragedy,1821,35,False,0.9305165815360718,0.4605042016806722,1.6067226890756303,zuleima|aly,15.657142857142857,3,1823,1821.0,30,35,4,29,2,,1,,8,1,0,13747,13527,1078,0,1815
heine-william-ratcliff,ger000446,Heine,0,William Ratcliff,Tragödie,Tragedy,1823,16,False,0.9207875457875458,0.5833333333333334,1.4166666666666667,ratcliff,8.75,2,1888,1823.0,15,16,2,13,1,,1,,4,0,0,7452,6800,896,3,847
heiseler-die-kinder-godunofs,ger000029,Heiseler,0,Die Kinder Godunófs,Tragödie,Tragedy,1929,31,False,0.9125849573439444,0.4387096774193548,1.5612903225806452,boris,13.161290322580646,2,1930,1929.0,30,31,3,27,1,,1,1923,5,0,5,13473,13159,1433,0,1837
