name,id,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"dal-carretto-comedia-de-timon-greco","ita000057","Carretto","0","Comedia de Timon greco","","","1497","11","false","0.4632034632034632","0.23636363636363636","1.9333333333333333","timon","2.3636363636363638","3","","","7","11","0","9","2","","2","1497","16","0","5","7984","7589","263","0","1047"
"dal-carretto-noze-de-psiche-e-cupidine","ita000058","Carretto","0","Noze de Psiche e Cupidine","","","1499","37","false","0.8829708248030397","0.5465465465465466","1.4534534534534536","cupido|psiche","19.675675675675677","2","","","36","37","15","16","6","","1","1499","5","0","0","18540","15907","1690","0","2258"
"de-dottori-aristodemo","ita000059","Dottori","0","Aristodemo","","","1657","12","false","0.6765873015873015","0.45454545454545453","1.6515151515151516","policare|coro","5","3","","1670","8","12","4","7","1","","1","1657","34","0","5","18682","18472","98","0","3113"
"de-medici-rappresentazione-di-san-giovanni-e-paolo","ita000060","Medici","0","Rappresentazione di san Giovanni e Paolo","","","1491","37","false","1","1","1","several characters","36","1","1491","","36","37","7","28","2","","1","1490/1491","1","0","0","8866","8635","412","0","1169"
"della-valle-la-reina-di-scozia","ita000061","Valle","0","La reina di Scozia","","","1591","11","false","0.8483405483405484","0.5454545454545454","1.4545454545454546","coro","5.454545454545454","2","","1628","10","12","3","8","1","","1","1591","14","0","5","15723","15585","65","0","2556"
"dolce-marianna","ita000062","Dolce","0","Marianna","","","1565","15","false","0.7168294668294668","0.3333333333333333","1.6857142857142857","erode","4.666666666666667","3","","1565","13","17","5","11","1","","1","","23","0","5","23356","21966","66","0","3092"
"epicuro-la-cecaria","ita000063","Epicuro","0","La Cecaria","","","1525","6","false","0.9","0.8666666666666667","1.1333333333333333","terzo|vecchio|geloso","4.333333333333333","2","","1525","5","6","1","5","0","","1","","6","0","2","11814","11663","200","0","1647"
"epicuro-mirzia","ita000064","Epicuro","0","Mirzia","","","1528","8","false","0.7714285714285715","0.6785714285714286","1.3214285714285714","mirzia","4.75","2","","1528","7","8","4","4","0","","1","","21","0","3","13172","12180","194","0","1594"
"fiorillo-la-lucilla-costante","ita000065","Fiorillo","0","La Lucilla costante","","","1609","12","false","1","1","1","several characters","11","1","1632","","11","12","3","9","0","","1","1609","79","0","5","37640","36152","419","1477","70"
"foscolo-ajace","ita000066","Foscolo","0","Ajace","","","1811","8","false","0.6958333333333333","0.6428571428571429","1.4642857142857142","aiace|agamennone","4.5","3","1811","1828","6","8","1","7","0","","1","1810/1811","36","0","5","14452","14151","258","0","2066"
"foscolo-edippo","ita000067","Foscolo","0","Edippo","","","1796","5","false","0.9","0.9","1.1","teseo|antigone|edippo","3.6","2","","1978","4","5","1","4","0","","1","1796","18","0","4","9582","9306","56","0","1418"
"foscolo-ricciarda","ita000068","Foscolo","0","Ricciarda","","","1813","5","false","0.8666666666666666","0.8","1.2","averardo|guido","3.2","2","1813","1820","4","5","1","4","0","","1","1812/1813","25","0","5","10507","10288","128","0","1444"
"foscolo-tieste","ita000069","Foscolo","0","Tieste","","","1797","4","false","1","1","1","several characters","3","1","1797","","3","4","2","2","0","","1","1795","24","0","5","11080","10771","417","0","1694"
"gigli-la-dirindina","ita000070","Gigli","0","La Dirindina","","","1715","3","false","1","1","1","don_carissimo|liscione|dirindina","2","1","1715","1715","2","3","1","2","0","","1","","2","0","0","2086","2073","0","0","408"
"giraldi-cinzio-cleopatra","ita000071","Giraldi","0","Cleopatra","","","1542","18","false","0.5783148949815616","0.35947712418300654","1.6397058823529411","coro","6.111111111111111","3","","1583","12","18","4","14","0","","2","1542","35","0","5","22367","21247","16","0","3052"
"giraldi-cinzio-egle-editio-princeps","ita000072","Giraldi","0","Egle (Editio Princeps)","","","1545","19","false","0.8089977617841395","0.3684210526315789","1.631578947368421","egle","6.631578947368421","2","","1545","18","19","8","11","0","","1","","20","","5","17500","16039","71","0","2289"
